labels,propQuestion,setQuestion,choiceQuestion,checkQuestion,inform,answer,correction,agreement,disagreement,confirm,disconfirm,offer,request,suggest,conditionalAccept,accept,decline,feedbackPos,feedbackNeg,stalling,retraction,greeting,goodbye,thanking,acceptThanking,apology,acceptApology
propQuestion,0.0,0.286,0.286,0.125,0.571,0.571,0.571,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.875,0.857,0.857,0.875,0.875,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
setQuestion,0.286,0.0,0.286,0.375,0.571,0.571,0.571,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.875,0.857,0.857,0.875,0.875,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
choiceQuestion,0.286,0.286,0.0,0.375,0.571,0.571,0.571,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.875,0.857,0.857,0.875,0.875,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
checkQuestion,0.143,0.429,0.429,0.0,0.714,0.714,0.714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
inform,0.571,0.571,0.571,0.625,0.0,0.286,0.286,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.875,0.857,0.857,0.875,0.875,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
answer,0.571,0.571,0.571,0.625,0.286,0.0,0.286,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.875,0.857,0.857,0.875,0.875,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
correction,0.571,0.571,0.571,0.625,0.286,0.286,0.0,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.875,0.857,0.857,0.875,0.875,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
agreement,0.857,0.857,0.857,0.875,0.857,0.857,0.857,0.0,0.571,0.286,0.571,0.857,0.857,0.857,0.375,0.286,0.571,0.375,0.625,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
disagreement,0.857,0.857,0.857,0.875,0.857,0.857,0.857,0.571,0.0,0.571,0.286,0.857,0.857,0.857,0.625,0.571,0.286,0.625,0.375,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
confirm,0.857,0.857,0.857,0.875,0.857,0.857,0.857,0.286,0.571,0.0,0.571,0.857,0.857,0.857,0.375,0.286,0.571,0.375,0.625,0.857,0.857,0.875,0.875,0.875,0.875,0.875,0.875
