,Group,User 1,User 2,DA,DA,DA,DA,DA,AP,AP,AP,AP,AP
,,,,dof,critical,chi,p-value,reject,dof,critical,chi,p-value,reject
0,set 1,usr1-1,usr11-1,20,31.410432844230918,19.953113553113553,0.4608661133609533,False,8,15.50731305586545,11.499658236500343,0.17496242687494887,False
1,set 1,usr1-1,usr6-1,18,28.869299430392623,21.28138528138528,0.2654552455801236,False,9,16.918977604620448,14.49563671622495,0.1057545641358214,False
2,set 1,usr11-1,usr6-1,20,31.410432844230918,20.609523809523807,0.42042717674416624,False,9,16.918977604620448,12.352564102564102,0.19415516093334467,False
3,set 2,usr12-2,usr2-2,18,28.869299430392623,24.878210678210674,0.12830786184401824,False,10,18.307038053275146,14.18081918081918,0.16490251365506603,False
4,set 2,usr12-2,usr7-2,19,30.14352720564616,24.90995670995671,0.16352751186950465,False,10,18.307038053275146,16.68727612257024,0.08157656386886684,False
5,set 2,usr2-2,usr7-2,19,30.14352720564616,19.88225108225108,0.4016946868957429,False,8,15.50731305586545,11.972727272727273,0.15242487936093843,False
6,set 3,usr13-3,usr3-3,19,30.14352720564616,13.083822843822844,0.8342524151012605,False,10,18.307038053275146,17.262626262626263,0.0687509959179648,False
7,set 3,usr13-3,usr8-3,18,28.869299430392623,18.933868092691625,0.3959064786246625,False,10,18.307038053275146,40.19381787802841,1.5663445653610564e-05,True
8,set 3,usr3-3,usr8-3,17,27.58711163827534,9.853002070393375,0.909661146879136,False,10,18.307038053275146,23.63535353535353,0.008629387124819348,True
9,set 4,usr14-4,usr4-4,19,30.14352720564616,17.50870279146141,0.5554458023006432,False,10,18.307038053275146,9.666666666666666,0.47020814266184163,False
10,set 4,usr14-4,usr9-4,17,27.58711163827534,12.954545454545453,0.7392235867102107,False,10,18.307038053275146,15.891774891774892,0.10277266292984945,False
11,set 4,usr4-4,usr9-4,15,24.995790139728616,19.51904761904762,0.19116883446490254,False,10,18.307038053275146,17.31111111111111,0.06775715513407836,False
12,set 5,usr10-5,usr15-5,18,28.869299430392623,26.42015182884748,0.09053219383897579,False,10,18.307038053275146,20.479551820728293,0.02502964654277231,True
13,set 5,usr10-5,usr5-5,18,28.869299430392623,17.45925925925926,0.4917714346845615,False,10,18.307038053275146,18.725490196078432,0.0438911301854197,True
14,set 5,usr15-5,usr5-5,19,30.14352720564616,17.333333333333332,0.567296379427629,False,9,16.918977604620448,26.191690662278898,0.0019005055919198222,True
