,group,user,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,DA,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
,,,propQuestion,setQuestion,choiceQuestion,checkQuestion,inform,answer,correction,agreement,disagreement,confirm,disconfirm,offer,request,suggest,conditionalAccept,accept,decline,feedbackPos,feedbackNeg,stalling,retraction,greeting,goodbye,thanking,acceptThanking,apology,acceptApology,FPP-base,SPP-base,FPP-pre,SPP-pre,Pre,FPP-insert,SPP-insert,Insert,FPP-post,SPP-post,Post
0,set 1,usr1-1,4.0,6.0,2.0,0.0,10.0,6.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,8.0,9.0,9.0,4.0,0.0,9.0,3.0,1.0,3.0,2.0,0.0
1,set 1,usr11-1,3.0,7.0,0.0,1.0,5.0,4.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,11.0,5.0,2.0,4.0,0.0,6.0,7.0,4.0,4.0,5.0,0.0
2,set 1,usr6-1,2.0,5.0,0.0,1.0,2.0,10.0,3.0,5.0,1.0,6.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,5.0,8.0,4.0,4.0,0.0,7.0,11.0,2.0,0.0,4.0,3.0
3,set 2,usr12-2,3.0,5.0,5.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,4.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,9.0,4.0,2.0,1.0,3.0,7.0,3.0,4.0,4.0,5.0
4,set 2,usr2-2,1.0,6.0,1.0,0.0,4.0,4.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,10.0,3.0,4.0,5.0,0.0,6.0,6.0,0.0,3.0,7.0,2.0
5,set 2,usr7-2,1.0,2.0,1.0,5.0,2.0,6.0,4.0,4.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,7.0,6.0,0.0,9.0,10.0,0.0,5.0,3.0,2.0
6,set 3,usr13-3,7.0,2.0,0.0,1.0,13.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,8.0,3.0,4.0,8.0,6.0,5.0,6.0
7,set 3,usr3-3,4.0,4.0,2.0,1.0,12.0,8.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,10.0,7.0,3.0,1.0,4.0,3.0,6.0,1.0,4.0,7.0,2.0
8,set 3,usr8-3,4.0,3.0,3.0,1.0,11.0,12.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,12.0,15.0,2.0,8.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0
9,set 4,usr14-4,3.0,6.0,0.0,1.0,11.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,0.0,5.0,2.0,8.0,8.0,9.0,2.0,1.0,4.0
10,set 4,usr4-4,3.0,3.0,2.0,1.0,18.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,1.0,1.0,2.0,7.0,8.0,11.0,2.0,2.0,0.0
11,set 4,usr9-4,5.0,3.0,0.0,1.0,10.0,6.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,3.0,4.0,9.0,6.0,7.0,4.0
12,set 5,usr10-5,4.0,2.0,0.0,3.0,16.0,2.0,0.0,8.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,9.0,8.0,2.0,0.0,1.0,5.0,6.0,6.0,6.0,2.0,1.0
13,set 5,usr15-5,5.0,1.0,0.0,4.0,7.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,8.0,9.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,3.0,13.0
